Date,Open,High,Low,Close,Volume
42937,989,995.109985,984.169983,993.840027,1463300
42940,994.099976,1006.190002,990.27002,998.309998,3984500
42941,970.700012,976.72998,963.799988,969.030029,5933600
42942,972.780029,973.950012,960.22998,965.309998,2221600
42943,969.179993,969.52002,937.059998,952.51001,3717900
42944,947.98999,961.789978,945.309998,958.330017,1813800
42947,960,961.190002,941.72998,945.5,2283500
42948,947.809998,954.48999,944.960022,946.559998,1402600
42949,948.369995,949.099976,932.52002,947.640015,2039400
42950,949.099976,950,939.440002,940.299988,1123900
42951,943.950012,947.539978,939.799988,945.789978,1254600
42954,947.52002,948.960022,943.5,945.75,1445800
42955,944.289978,952.48999,942.47998,944.190002,1505100
42956,938.450012,943.76001,933.919983,940.080017,1400900
42957,935,936.299988,921.780029,923.590027,2707400
42958,923.710022,933.359985,921.219971,930.090027,1616700
42961,939.070007,941.039978,934.48999,938.929993,1148500
42962,941.030029,943.070007,936.640015,938.080017,1106500
42963,941.25,949.900024,940.039978,944.27002,1345300
42964,942.950012,943.809998,927.640015,927.659973,1695700
42965,926.97998,931.02002,923.450012,926.179993,1337400
42968,925.77002,928.25,918.599976,920.869995,1301200
42969,926.960022,941.960022,926.169983,940.400024,1775100
42970,937,945.429993,935.23999,942.580017,1134500
42971,943.710022,946.309998,930.73999,936.890015,1294600
42972,939.210022,940.72998,930.099976,930.5,1187300
42975,931.880005,934.849976,926.109985,928.130005,1049400
42976,919.950012,938.190002,919.309998,935.75,1158600
42977,935.669983,945.859985,934.049988,943.630005,1120300
42978,946.299988,957.200012,946.25,955.23999,1693300
42979,957.469971,958.330017,950.280029,951.98999,1042900
42983,946.859985,951.390015,935.599976,941.47998,1457400
42984,943.869995,944.5,932.679993,942.02002,1391500
42985,944.25,950.5,937.530029,949.890015,1116600
42986,949.700012,950.700012,940.01001,941.409973,999900
42989,947.200012,952.679993,941,943.289978,1337400
42990,946.919983,948.090027,937.5,946.650024,1284800
42991,945.5,952.849976,944.73999,950.440002,1095400
42992,946,948.030029,938.359985,940.130005,1427400
42993,940.090027,941.75,931.25,935.289978,1994300
42996,935.01001,936.859985,925.400024,929.75,1473700
42997,933.409973,937.940002,926.659973,936.859985,1242700
42998,937.72998,950,937.5,947.539978,2004000
42999,948.130005,952.799988,939.380005,947.549988,1370700
43000,942.77002,950,940.840027,943.26001,1074800
43003,939.450012,939.75,924.51001,934.280029,1873400
43004,936.690002,944.080017,935.119995,937.429993,1672700
43005,942.73999,965.429993,941.950012,959.900024,2334600
43006,956.25,966.179993,955.549988,964.809998,1400900
43007,966,975.809998,966,973.719971,2031100
43010,975.650024,977.73999,961.950012,967.469971,1539100
43011,967.559998,972.440002,962.710022,972.080017,1083300
43012,971.76001,974.400024,965.609985,966.780029,1057800
43013,972.789978,986.51001,970.27002,985.190002,1780900
43014,980,994.26001,978.51001,993.640015,1553000
43017,995,1000.460022,991.5,992.309998,1295500
43018,995.299988,997.469971,981.109985,987.799988,1163400
43019,989.039978,1007.570007,987.940002,1005.650024,1815000
43020,1003.840027,1011.539978,1001.099976,1005.650024,1530700
43021,1009.109985,1014.76001,1007.059998,1007.869995,1327600
43024,1009.630005,1012,1001.52002,1009.349976,1071000
43025,1007.440002,1014.559998,1006.049988,1011,1013000
43026,1011.049988,1016.309998,1005.320007,1012.73999,1279800
43027,1004.75,1007.320007,997.299988,1001.840027,1714200
43028,1007.049988,1008.650024,1002.27002,1005.070007,1606000
43031,1005.179993,1005.789978,983.099976,985.539978,1639300
43032,986.5,989.26001,977.080017,988.48999,1445100
43033,986.27002,994.429993,977.719971,991.460022,1528700
43034,998.469971,1006.51001,990.469971,991.419983,2369800
43035,1030.98999,1063.619995,1026.849976,1033.670044,5184100
43038,1029.160034,1039.829956,1022.330017,1033.130005,2340200
43039,1033,1041,1026.300049,1033.040039,1516300
43040,1036.319946,1047.859985,1034,1042.599976,2163100
43041,1039.98999,1045.52002,1028.660034,1042.969971,1334700
43042,1042.75,1050.660034,1037.650024,1049.98999,1388500
43045,1049.099976,1052.589966,1042,1042.680054,914700
43046,1049.650024,1053.410034,1043,1052.390015,1305200
43047,1050.050049,1062.689941,1047.050049,1058.290039,1213800
43048,1048,1050.880005,1035.849976,1047.719971,1794600
43049,1043.869995,1046.630005,1041.219971,1044.150024,972100
43052,1040.800049,1048.73999,1039.26001,1041.199951,940700
43053,1037.719971,1042.300049,1029.329956,1041.640015,1050600
43054,1035,1039.630005,1030.76001,1036.410034,905300
43055,1038.75,1051.76001,1038,1048.469971,1188400
43056,1049.800049,1051,1033.72998,1035.890015,1335600
43059,1036,1038.699951,1032.680054,1034.660034,876300
43060,1040.040039,1050.390015,1039.140015,1050.300049,1110300
43061,1051.160034,1055.430054,1047.25,1051.920044,726900
43063,1054.390015,1060.069946,1051.920044,1056.52002,824600
43066,1058.569946,1073.040039,1054.77002,1072.01001,1771500
43067,1073.98999,1080,1054.540039,1063.290039,1821200
43068,1056.180054,1058.77002,1029.650024,1037.380005,2793300
43069,1039.939941,1044.140015,1030.069946,1036.170044,2254600
43070,1030.410034,1037.23999,1016.900024,1025.069946,1888100
43073,1027.800049,1031.339966,1009.219971,1011.869995,1938900
43074,1010.98999,1036.680054,1002.320007,1019.599976,1949900
43075,1016.52002,1039.579956,1015.309998,1032.719971,1435500
43076,1036.069946,1048.920044,1035.359985,1044.569946,1543300
43077,1051.810059,1056.420044,1045.859985,1049.380005,1558500
43080,1051.109985,1056,1044.119995,1051.969971,1162700
43081,1050,1062.5,1044.869995,1048.77002,1694100
43082,1052.079956,1055.47998,1046.579956,1051.390015,1384000
43083,1055.48999,1067.079956,1053.599976,1057.469971,1548100
43084,1063.780029,1075.25,1060.089966,1072,3188000
43087,1076.449951,1086.48999,1070.369995,1085.089966,1514600
43088,1083.02002,1084.969971,1072.27002,1079.780029,1317500
43089,1080.920044,1081.22998,1068.599976,1073.560059,1436400
43090,1075.390015,1077.52002,1069,1070.849976,1282000
43091,1070,1071.719971,1067.640015,1068.859985,889400
43095,1068.640015,1068.859985,1058.640015,1065.849976,918800
43096,1066.599976,1068.27002,1058.380005,1060.199951,1116200
43097,1062.25,1064.839966,1053.380005,1055.949951,994200
43098,1055.48999,1058.050049,1052.699951,1053.400024,1180300
